"","","",""
"TABLE 1","","",""
"","","",""
"","31H","","It 191"
"N","1409778724","94156072","6.68%"
"","21893095","4771495","21.79%"
"/hj","24870895","4280759","17.21%"
"","13866009","1949699","14.06%"
"","42591407","3631684","8.53%"
"","24073453","2025967","8.42%"
"","24049155","1943502","8.08%"
"","84748016","6806564","8.03%"
"","7202654","565068","7.85%"
"","39528999","3088054","7.81%"
"I","64567588","4951134","7.67%"
"P4","34915616","2569948","7.36%"
"I","31850088","2193435","6.89%"
"/jjj","5923957","398133","6.72%"
"2/1","41540086","2754214","6.63%"
"","32054159","2119899","6.61%"
"","57752557","3775459","6.54%"
"","25852345","1658324","6.41%"
"","126012510","8075009","6.41%"
"11/1","25019831","1578442","6.31%"
"","10081232","625359","6.20%"
"","101527453","6082292","5.99%"
"","3648100","204734","5.61%"
"","61027171","3351127","5.49%"
"","83674866","4578724","5.47%"
"","47209277","2442457","5.17%"
"Jrr","38562148","1976937","5.13%"
"It","74610235","3709065","4.97%"
"","45188635","2170366","4.80%"
"","66444864","3141800","4.73%"
"","99365519","4500926","4.53%"
"","50126804","2235496","4.46%"
